popularity_rank,domain,Populated,Number_of_accessibility_errors_detected,WCAG_2_A/AA_failure_detected,Number_of_page_elements,Error_density_Percentage,Top_error_types_detected
435,wp.com,Yes,8,3,56,14.29,aria-allowed-attr; presentation-role-conflict; color-contrast; label-title-only; label
436,lsrelayaccess.com,No,,,,,
437,crpt.ru,Yes,8,3,42,19.05,color-contrast; button-name; link-name; page-has-heading-one
438,statista.com,Yes,0,0,49,0.0,
439,worldnic.com,No,,,,,
440,awsglobalaccelerator.com,No,,,,,
441,netangels.ru,No,,,,,
442,mynetname.net,No,,,,,
443,netease.com,No,,,,,
444,speedtest.net,Yes,3,0,36,8.33,landmark-unique; page-has-heading-one; tabindex
445,list-manage.com,No,,,,,
446,duolingo.com,No,,,,,
447,mcafee.com,No,,,,,
448,aliexpress.com,Yes,5,3,8,62.5,document-title; html-has-lang; landmark-one-main; meta-viewport; page-has-heading-one
449,t-mobile.com,No,,,,,
450,discord.media,Yes,11,3,29,37.93,color-contrast; region; link-in-text-block; heading-order; landmark-one-main
451,mikrotik.com,Yes,104,1,144,72.22,region; color-contrast; empty-heading
452,featureassets.org,Yes,5,2,8,62.5,document-title; html-has-lang; landmark-one-main; page-has-heading-one; region
453,svc.ms,No,,,,,
454,beian.gov.cn,No,,,,,
455,quora.com,Yes,2,1,17,11.76,meta-refresh; page-has-heading-one
456,myhuaweicloud.com,No,,,,,
457,eventbrite.com,Yes,2,1,48,4.17,aria-valid-attr-value; landmark-unique
458,gamepass.com,No,,,,,
459,g.page,Yes,0,0,36,0.0,
460,bsky.app,Yes,1,1,8,12.5,html-has-lang
461,hostgator.com,Yes,5,2,28,17.86,empty-heading; link-name; meta-refresh; page-has-heading-one; region
462,nflximg.com,No,,,,,
463,awswaf.com,No,,,,,
464,eye4.cn,No,,,,,
465,ietf.org,Yes,6,0,50,12.0,aria-allowed-role
466,sohu.com,Yes,78,1,115,67.83,color-contrast; region; page-has-heading-one
467,goodreads.com,Yes,4,2,5,80.0,document-title; html-has-lang; landmark-one-main; page-has-heading-one
468,2mdn.net,No,,,,,
469,firetvcaptiveportal.com,No,,,,,
470,kwai.net,No,,,,,
471,gosuslugi.ru,Yes,2,1,17,11.76,meta-viewport; page-has-heading-one
472,scribd.com,Yes,5,1,52,9.62,svg-img-alt; landmark-unique
473,addtoany.com,Yes,18,1,35,51.43,region; link-in-text-block; landmark-one-main
474,mysql.com,Yes,40,3,77,51.95,link-name; color-contrast; link-in-text-block; page-has-heading-one
475,npr.org,No,,,,,
476,walmart.com,No,,,,,
477,vkontakte.ru,No,,,,,
478,name.com,No,,,,,
479,mediatek.com,No,,,,,
480,myqcloud.com,No,,,,,
481,tencent-cloud.net,No,,,,,
482,sberbank.ru,Yes,7,0,15,46.67,region; landmark-one-main; page-has-heading-one
483,nstld.com,No,,,,,
484,amagi.tv,No,,,,,
485,pushy.io,No,,,,,
486,paloaltonetworks.com,Yes,110,0,154,71.43,region; landmark-one-main; landmark-unique
487,foxnews.com,No,,,,,
488,exp-tas.com,No,,,,,
489,t-msedge.net,No,,,,,
490,nease.net,No,,,,,
491,giphy.com,Yes,28,2,48,58.33,region; html-has-lang; landmark-one-main; meta-viewport
492,amzn.to,Yes,3,1,9,33.33,document-title; landmark-one-main; page-has-heading-one
493,shein.com,No,,,,,
494,slideshare.net,No,,,,,
495,sina.com.cn,No,,,,,
496,rbxcdn.com,No,,,,,
497,indiatimes.com,Yes,93,4,127,73.23,aria-hidden-focus; region; link-name; image-redundant-alt; button-name
498,stackoverflow.com,No,,,,,
499,adobedtm.com,No,,,,,
500,amazon.co.jp,No,,,,,
501,google.de,No,,,,,
502,behance.net,Yes,4,1,48,8.33,aria-valid-attr-value; landmark-no-duplicate-contentinfo; landmark-unique
503,substack.com,Yes,26,4,60,43.33,color-contrast; svg-img-alt; region; aria-allowed-attr; landmark-one-main
504,nflxvideo.net,No,,,,,
505,fandom.com,Yes,1,1,28,3.57,meta-refresh
506,easebar.com,No,,,,,
507,gandi-ns.fr,No,,,,,
508,nbcnews.com,No,,,,,
509,atlassian.net,No,,,,,
510,skyhigh.cloud,No,,,,,
511,okta.com,No,,,,,
512,beyondwickedmapping.org,Yes,5,2,8,62.5,document-title; html-has-lang; landmark-one-main; page-has-heading-one; region
513,docker.com,No,,,,,
514,firefox.com,Yes,0,0,37,0.0,
515,wired.com,No,,,,,
516,run.app,Yes,5,0,18,27.78,region; landmark-one-main; page-has-heading-one
517,blogger.com,No,,,,,
518,palmplaystore.com,Yes,52,2,66,78.79,color-contrast; meta-viewport; page-has-heading-one
519,elasticbeanstalk.com,No,,,,,
520,360yield.com,No,,,,,
521,ft.com,Yes,4,1,41,9.76,landmark-main-is-top-level; landmark-no-duplicate-main; landmark-unique; meta-refresh
522,sc-cdn.net,No,,,,,
523,jquery.com,Yes,33,4,74,44.59,color-contrast; listitem; region; aria-required-children; button-name
524,gcdn.co,No,,,,,
525,icloud-content.com,No,,,,,
526,dynatrace.com,Yes,2,0,32,6.25,heading-order
527,cloudflareinsights.com,Yes,6,3,13,46.15,document-title; html-has-lang; image-alt; landmark-one-main; page-has-heading-one
528,vedsalb.com,No,,,,,
529,uol.com.br,Yes,134,7,176,76.14,color-contrast; region; aria-prohibited-attr; aria-hidden-focus; empty-heading
530,spaceweb.pro,No,,,,,
531,uk.com,Yes,11,4,48,22.92,color-contrast; image-alt; label; landmark-unique; link-name
532,deere.com,No,,,,,
533,time.com,Yes,9,1,53,16.98,color-contrast; heading-order; landmark-unique
534,vidaahub.com,No,,,,,
536,trendmicro.com,No,,,,,
537,360.cn,No,,,,,
538,imgsmail.ru,No,,,,,
539,arxiv.org,Yes,0,0,46,0.0,
540,2gis.com,Yes,9,2,20,45.0,region; color-contrast; html-has-lang; landmark-one-main; page-has-heading-one
541,geobasket.ru,No,,,,,
542,markmonitor.com,Yes,1,1,28,3.57,meta-refresh
543,capcut.com,Yes,7,2,48,14.58,color-contrast; frame-title; landmark-unique
544,patreon.com,No,,,,,
545,usatoday.com,No,,,,,
546,deviantart.com,Yes,12,3,54,22.22,aria-hidden-focus; region; button-name; landmark-contentinfo-is-top-level; svg-img-alt
547,visualstudio.com,No,,,,,
548,eset.com,No,,,,,
549,google.com.hk,No,,,,,
550,tplinkcloud.com,No,,,,,
551,rlcdn.com,No,,,,,
552,grammarly.com,No,,,,,
553,wix.com,No,,,,,
554,teamviewer.com,No,,,,,
555,live.net,No,,,,,
556,fast.com,Yes,7,1,25,28.0,region; html-has-lang; landmark-one-main; page-has-heading-one
557,azure-dns.com,No,,,,,
558,netflix.net,Yes,19,1,58,32.76,region; heading-order; meta-viewport
559,dnspod.net,No,,,,,
560,atlassian.com,No,,,,,
561,tandfonline.com,Yes,2,1,17,11.76,meta-refresh; page-has-heading-one
562,tripadvisor.com,Yes,2,0,12,16.67,landmark-one-main; page-has-heading-one
563,comcast.com,No,,,,,
564,hotjar.com,Yes,8,1,46,17.39,link-name; empty-heading; region
565,oup.com,Yes,3,1,10,30.0,html-has-lang; landmark-one-main; region
566,ca.gov,No,,,,,
567,ya.ru,Yes,5,1,39,12.82,color-contrast; aria-allowed-role
568,telegraph.co.uk,Yes,5,1,11,45.45,region; html-has-lang; landmark-one-main
569,oraclecloud.com,Yes,4,1,14,28.57,html-has-lang; landmark-one-main; page-has-heading-one; region
570,my.com,No,,,,,
571,volcfcdndvs.com,No,,,,,
572,timeweb.ru,No,,,,,
573,deepl.com,Yes,22,3,69,31.88,region; list; aria-hidden-focus; aria-required-children; landmark-one-main
574,msidentity.com,No,,,,,
575,cdn20.com,No,,,,,
576,dtkn.ru,No,,,,,
577,cornell.edu,No,,,,,
578,surveymonkey.com,Yes,57,3,102,55.88,region; color-contrast; aria-roles; svg-img-alt
579,sharethrough.com,Yes,29,4,71,40.85,region; link-name; color-contrast; select-name; html-has-lang
580,impervadns.net,No,,,,,
581,yahoodns.net,No,,,,,
582,hicloud.com,No,,,,,
583,yieldmo.com,No,,,,,
584,avito.ru,Yes,12,0,28,42.86,region; landmark-one-main; page-has-heading-one
585,expireddomains.com,Yes,3,1,39,7.69,color-contrast; page-has-heading-one
586,rakuten.co.jp,No,,,,,
587,adobedc.net,No,,,,,
588,target.com,No,,,,,
589,bidswitch.net,No,,,,,
590,berkeley.edu,No,,,,,
591,googlezip.net,No,,,,,
592,cdnvideo.ru,No,,,,,
593,alicdn.com,No,,,,,
594,a-msedge.net,No,,,,,
595,apnews.com,No,,,,,
596,xiaomi.net,No,,,,,
597,xboxlive.com,No,,,,,
598,samsungapps.com,No,,,,,
599,playstation.com,No,,,,,
600,ieee.org,Yes,4,1,9,44.44,html-has-lang; landmark-one-main; page-has-heading-one; region
601,aboutads.info,Yes,31,3,57,54.39,color-contrast; region; heading-order; image-alt; landmark-one-main
602,ipinfo.io,Yes,99,4,142,69.72,region; color-contrast; button-name; landmark-one-main; landmark-unique
603,googletagservices.com,No,,,,,
604,free.fr,No,,,,,
605,verisign.com,Yes,3,2,29,10.34,button-name; color-contrast; page-has-heading-one
606,digitalocean.com,Yes,52,0,86,60.47,region; empty-heading; landmark-one-main
607,onetrust.com,Yes,49,0,93,52.69,region; heading-order; landmark-one-main
608,mdpi.com,No,,,,,
609,claude.ai,Yes,4,0,32,12.5,region; landmark-one-main; page-has-heading-one
610,licdn.com,No,,,,,
611,jotform.com,Yes,4,1,46,8.7,color-contrast
612,accuweather.com,No,,,,,
613,britannica.com,Yes,34,3,75,45.33,link-in-text-block; image-alt; link-name
614,klaviyo.com,Yes,2,1,47,4.26,landmark-unique; role-img-alt
615,ikea.com,Yes,2,0,43,4.65,region; skip-link
616,ozone.ru,No,,,,,
617,braze.com,Yes,5,1,47,10.64,aria-hidden-focus; heading-order
618,branch.io,Yes,1,0,44,2.27,region
619,loc.gov,Yes,5,1,55,9.09,aria-valid-attr-value; aria-dialog-name; region
620,fontawesome.com,Yes,10,4,58,17.24,link-name; aria-prohibited-attr; color-contrast; region; image-alt
621,squarespace.com,Yes,0,0,48,0.0,
622,bunnyinfra.net,No,,,,,
623,redhat.com,Yes,12,0,57,21.05,region
624,nintendo.com,Yes,42,3,79,53.16,region; image-alt; aria-prohibited-attr; color-contrast; landmark-unique
625,qlivecdn.com,No,,,,,
626,force.com,Yes,5,1,11,45.45,region; html-has-lang; landmark-one-main
627,stackadapt.com,No,,,,,
628,wswebcdn.com,No,,,,,
629,dyndns.org,Yes,17,2,57,29.82,region; color-contrast; heading-order; select-name; tabindex
630,cookielaw.org,Yes,22,1,65,33.85,region; color-contrast; landmark-one-main
631,typekit.net,No,,,,,
632,independent.co.uk,Yes,191,2,235,81.28,region; color-contrast; landmark-one-main; link-in-text-block
633,amazon.fr,Yes,3,1,9,33.33,document-title; landmark-one-main; page-has-heading-one
634,cbsnews.com,No,,,,,
635,intercom.io,Yes,24,3,67,35.82,color-contrast; aria-prohibited-attr; aria-allowed-attr
636,threads.com,Yes,10,2,45,22.22,color-contrast; region; landmark-one-main; meta-viewport-large; svg-img-alt
637,cnet.com,Yes,0,0,41,0.0,
638,conviva.com,Yes,10,4,57,17.54,link-name; aria-hidden-focus; aria-allowed-attr; image-alt; landmark-unique
639,viber.com,Yes,17,3,51,33.33,color-contrast; link-name; image-alt
640,nic.network,No,,,,,
641,outbrain.com,Yes,24,3,64,37.5,aria-required-parent; aria-allowed-attr; aria-allowed-role; heading-order; presentation-role-conflict
642,elpais.com,Yes,4,0,44,9.09,landmark-unique; landmark-complementary-is-top-level
643,sagepub.com,Yes,0,0,45,0.0,
644,nike.com,Yes,73,6,120,60.83,aria-hidden-focus; aria-allowed-role; aria-required-parent; color-contrast; listitem
645,yelp.com,Yes,2,0,12,16.67,landmark-one-main; page-has-heading-one
646,ovh.net,Yes,7,2,18,38.89,region; frame-title; html-has-lang; landmark-one-main; page-has-heading-one
647,consultant.ru,Yes,5,3,46,10.87,link-name; color-contrast; link-in-text-block; region
648,imgur.com,Yes,4,2,13,30.77,color-contrast; html-has-lang; landmark-one-main; region
649,abovedomains.com,No,,,,,
650,unesco.org,No,,,,,
651,dreamhost.com,Yes,9,1,56,16.07,color-contrast
652,bytedns1.com,No,,,,,
653,techcrunch.com,Yes,5,2,51,9.8,aria-allowed-role; link-name; list; page-has-heading-one; region
654,amazon.ca,Yes,3,1,9,33.33,document-title; landmark-one-main; page-has-heading-one
655,noaa.gov,No,,,,,
656,ups.com,No,,,,,
657,dotomi.com,Yes,5,3,55,9.09,frame-title; aria-hidden-focus; color-contrast
658,withgoogle.com,Yes,0,0,32,0.0,
659,cambridge.org,Yes,1,1,28,3.57,meta-refresh
660,g.co,Yes,4,0,22,18.18,region; landmark-one-main
661,bx-msedge.net,No,,,,,
662,agkn.com,No,,,,,
663,quantserve.com,Yes,3,1,12,25.0,html-has-lang; landmark-one-main; region
664,1rx.io,No,,,,,
665,bluehost.com,Yes,8,2,30,26.67,region; empty-heading; link-name; meta-refresh; page-has-heading-one
666,pinimg.com,Yes,0,0,10,0.0,
667,scdn.co,No,,,,,
668,service.gov.uk,Yes,2,0,50,4.0,region
669,b-msedge.net,No,,,,,
670,mailchimp.com,No,,,,,
671,id5-sync.com,Yes,4,2,6,66.67,document-title; html-has-lang; landmark-one-main; page-has-heading-one
672,optimizely.com,Yes,8,0,52,15.38,region; landmark-unique; landmark-contentinfo-is-top-level; landmark-no-duplicate-contentinfo
673,crwdcntrl.net,No,,,,,
674,afilias-nst.info,No,,,,,
675,ted.com,No,,,,,
676,twimg.com,No,,,,,
677,ui-dns.com,No,,,,,
678,tencent.com,Yes,65,4,98,66.33,region; link-name; heading-order; image-alt; empty-heading
679,telephony.goog,No,,,,,
680,lijit.com,Yes,8,0,26,30.77,region; landmark-one-main; page-has-heading-one
681,lemonde.fr,Yes,18,2,57,31.58,color-contrast; frame-title; heading-order
682,spiegel.de,Yes,20,1,63,31.75,image-redundant-alt; color-contrast; empty-heading; landmark-unique; page-has-heading-one
683,smaato.net,No,,,,,
684,fb.com,Yes,2,0,7,28.57,landmark-one-main; page-has-heading-one
685,supertms.com,No,,,,,
686,hihonorcloud.com,Yes,5,3,10,50.0,document-title; html-has-lang; landmark-one-main; meta-viewport; page-has-heading-one
687,zdnscloud.cn,No,,,,,
688,anydesk.com,Yes,2,1,17,11.76,meta-refresh; page-has-heading-one
689,att.net,No,,,,,
690,safebrowsing.apple,No,,,,,
691,rackspace.net,No,,,,,
692,ln-msedge.net,No,,,,,
693,edgcdn.net,No,,,,,
694,creativecdn.com,No,,,,,
695,samsungacr.com,No,,,,,
696,whecloud.com,No,,,,,
697,hath.network,No,,,,,
698,rt.ru,Yes,25,3,56,44.64,color-contrast; link-name; image-redundant-alt; landmark-no-duplicate-contentinfo; landmark-unique
699,shopee.com.br,Yes,4,2,8,50.0,document-title; html-has-lang; landmark-one-main; page-has-heading-one
700,bidr.io,No,,,,,
701,mega.co.nz,Yes,4,0,37,10.81,heading-order; landmark-unique
702,google.co.uk,Yes,0,0,32,0.0,
703,ks-cdn.com,No,,,,,
704,tapad.com,No,,,,,
705,wps.com,No,,,,,
706,amazon.in,No,,,,,
707,newrelic.com,No,,,,,
708,ovscdns.com,No,,,,,
709,criteo.net,No,,,,,
710,chinamobile.com,No,,,,,
711,mediafire.com,Yes,1,0,40,2.5,region
712,cursor.sh,Yes,69,3,114,60.53,color-contrast; aria-hidden-focus; landmark-unique; scrollable-region-focusable
713,asus.com,No,,,,,
714,360safe.com,No,,,,,
715,wattpad.com,Yes,15,1,52,28.85,region; heading-order; label; landmark-no-duplicate-banner; landmark-one-main
716,bitrix24.ru,No,,,,,
717,it.com,No,,,,,
718,sophos.com,No,,,,,
719,box.com,Yes,7,0,53,13.21,region; heading-order; landmark-contentinfo-is-top-level; landmark-no-duplicate-contentinfo
720,bdydns.com,No,,,,,
721,bamgrid.com,No,,,,,
722,allaboutcookies.org,Yes,2,0,12,16.67,landmark-one-main; page-has-heading-one
723,shopee.co.id,Yes,4,2,8,50.0,document-title; html-has-lang; landmark-one-main; page-has-heading-one
724,dbankcloud.com,No,,,,,
725,afilias-nst.org,No,,,,,
726,everesttech.net,No,,,,,
727,bugsnag.com,No,,,,,
728,amazon.es,Yes,3,1,9,33.33,document-title; landmark-one-main; page-has-heading-one
730,homedepot.com,No,,,,,
731,adform.net,Yes,4,1,12,33.33,region; html-has-lang; landmark-one-main
732,steamstatic.com,No,,,,,
733,marriott.com,Yes,5,1,11,45.45,region; html-has-lang; landmark-one-main
734,bytefcdn-ttpus.com,No,,,,,
735,grammarly.io,No,,,,,
736,liadm.com,No,,,,,
737,seznam.cz,No,,,,,
738,networkadvertising.org,No,,,,,
739,adguard-vpn.online,No,,,,,
740,githubusercontent.com,No,,,,,
741,amazon.it,Yes,3,1,9,33.33,document-title; landmark-one-main; page-has-heading-one
742,imrworldwide.com,No,,,,,
743,jetbrains.com,Yes,2,1,37,5.41,heading-order; meta-viewport
744,alipaydns.com,No,,,,,
745,google.com.br,Yes,0,0,32,0.0,
746,myspace.com,No,,,,,
747,ring.com,Yes,24,4,64,37.5,color-contrast; button-name; link-name; region; image-alt
748,iso.org,No,,,,,
749,mckinsey.com,No,,,,,
750,bandcamp.com,Yes,0,0,49,0.0,
751,gumgum.com,No,,,,,
752,teads.tv,No,,,,,
753,fda.gov,Yes,5,2,8,62.5,document-title; html-has-lang; landmark-one-main; page-has-heading-one; region
754,zillow.com,Yes,2,0,8,25.0,landmark-one-main; page-has-heading-one
755,freepik.com,Yes,2,0,9,22.22,landmark-one-main; page-has-heading-one
756,anthropic.com,No,,,,,
757,appcenter.ms,No,,,,,
758,python.org,Yes,107,5,154,69.48,aria-required-parent; listitem; color-contrast; list; aria-required-children
759,ci-servers.net,No,,,,,
760,primevideo.com,No,,,,,
761,nmrodam.com,No,,,,,
762,wb.ru,Yes,5,2,11,45.45,html-has-lang; landmark-one-main; meta-refresh; page-has-heading-one; region
763,nel.goog,No,,,,,
764,mercadolivre.com.br,Yes,5,3,25,20.0,document-title; html-has-lang; label; page-has-heading-one; tabindex
765,prnewswire.com,No,,,,,
766,abc.net.au,No,,,,,
767,e2ro.com,No,,,,,
768,resolver.arpa,No,,,,,
769,turn.com,No,,,,,
770,ci-servers.org,No,,,,,
771,mlb.com,No,,,,,
772,nikkei.com,No,,,,,
773,wp.pl,Yes,194,3,227,85.46,region; color-contrast; button-name; image-alt; heading-order
774,no-ip.com,No,,,,,
775,theverge.com,No,,,,,
776,ameblo.jp,Yes,39,2,78,50.0,listitem; region; svg-img-alt; landmark-complementary-is-top-level
777,fiverr.com,Yes,1,1,22,4.55,image-alt
778,a-mo.net,Yes,5,2,7,71.43,document-title; html-has-lang; landmark-one-main; page-has-heading-one; region
779,hbr.org,Yes,2,1,45,4.44,heading-order; link-name
780,33across.com,Yes,2,1,17,11.76,meta-refresh; page-has-heading-one
781,unpkg.com,Yes,124,3,159,77.99,color-contrast; link-name; scrollable-region-focusable
782,appspot.com,No,,,,,
783,zoom.com,No,,,,,
784,people.com,Yes,3,1,20,15.0,empty-heading; meta-refresh; page-has-heading-one
785,blackberry.com,No,,,,,
786,allegro.pl,No,,,,,
787,uber.com,Yes,4,3,46,8.7,listitem; aria-allowed-attr; list
788,washington.edu,Yes,1,1,42,2.38,aria-hidden-focus
789,shopeemobile.com,Yes,10,2,23,43.48,region; link-name; landmark-one-main; meta-viewport; page-has-heading-one
790,lgtvcommon.com,No,,,,,
791,datadoghq.com,No,,,,,
792,dbankcloud.ru,No,,,,,
793,globalsign.com,No,,,,,
794,hostgator.com.br,No,,,,,
795,disneyplus.com,No,,,,,
796,moloco.com,No,,,,,
797,welt.de,Yes,32,1,75,42.67,heading-order; color-contrast; region; landmark-unique; landmark-banner-is-top-level
798,mixpanel.com,No,,,,,
799,sedo.com,Yes,18,2,61,29.51,link-in-text-block; link-name; region; heading-order; landmark-unique
800,herokudns.com,No,,,,,
801,disqus.com,Yes,11,1,42,26.19,color-contrast
802,mhverifier.ru,No,,,,,
803,rakuten.com,Yes,4,2,35,11.43,html-has-lang; landmark-one-main; meta-viewport; region
804,yandexcloud.net,No,,,,,
805,ddnss.de,Yes,41,3,76,53.95,color-contrast; listitem; link-in-text-block; heading-order; region
806,usgovcloudapi.net,No,,,,,
807,bild.de,Yes,38,2,84,45.24,link-name; color-contrast; region; page-has-heading-one
808,openstreetmap.org,Yes,36,3,76,47.37,color-contrast; region; link-in-text-block; button-name; landmark-unique
809,adjust.com,No,,,,,
810,fwmrm.net,No,,,,,
811,on.aws,No,,,,,
812,livejournal.com,No,,,,,
813,liftoff.io,No,,,,,
814,mayoclinic.org,Yes,0,0,44,0.0,
815,lenovo.com,Yes,6,0,49,12.24,tabindex; heading-order; landmark-main-is-top-level; landmark-no-duplicate-main; landmark-unique
816,onetag-sys.com,Yes,6,2,20,30.0,region; html-has-lang; landmark-one-main; meta-viewport
817,aljazeera.com,Yes,14,2,61,22.95,empty-heading; aria-hidden-focus; region; color-contrast
818,erome.com,No,,,,,
819,cmediahub.ru,No,,,,,
820,yellowblue.io,No,,,,,
821,discordapp.com,No,,,,,
822,zhihu.com,Yes,15,6,53,28.3,color-contrast; button-name; aria-roles; aria-valid-attr; image-alt
823,share.google,Yes,4,0,22,18.18,region; landmark-one-main
824,recaptcha.net,Yes,1,0,25,4.0,page-has-heading-one
825,usps.com,Yes,56,6,96,58.33,region; aria-required-parent; listitem; aria-allowed-attr; link-name
826,squarespacedns.com,No,,,,,
827,lefigaro.fr,Yes,79,4,132,59.85,image-redundant-alt; color-contrast; landmark-complementary-is-top-level; landmark-unique; aria-input-field-name
828,ys7.com,No,,,,,
829,vivo.com.cn,Yes,6,2,48,12.5,button-name; list; page-has-heading-one
830,msftauth.net,No,,,,,
831,academia.edu,No,,,,,
832,adgrx.com,No,,,,,
833,cdnhwc1.com,No,,,,,
835,latimes.com,Yes,5,2,8,62.5,document-title; html-has-lang; landmark-one-main; page-has-heading-one; region
836,kick.com,Yes,11,2,47,23.4,button-name; region; meta-viewport; page-has-heading-one
837,figma.com,Yes,10,1,54,18.52,aria-hidden-focus; aria-allowed-role
838,cdn-vk.ru,No,,,,,
839,me.com,Yes,0,0,37,0.0,
840,wpguardian.com,Yes,16,2,62,25.81,heading-order; color-contrast; image-alt; empty-table-header
841,ssl-images-amazon.com,No,,,,,
842,investopedia.com,Yes,3,1,20,15.0,empty-heading; meta-refresh; page-has-heading-one
844,pexels.com,Yes,2,1,17,11.76,meta-refresh; page-has-heading-one
845,discogs.com,Yes,1,1,28,3.57,meta-refresh
846,wpguardian.io,Yes,16,2,62,25.81,heading-order; color-contrast; image-alt; empty-table-header
847,news.com.au,Yes,8,2,18,44.44,region; document-title; empty-heading; html-has-lang; landmark-one-main
848,spotifycdn.com,No,,,,,
849,ebay.co.uk,Yes,16,3,66,24.24,tabindex; link-name; role-img-alt; aria-allowed-role; aria-required-attr
850,zoho.com,Yes,0,0,35,0.0,
851,thenai.org,Yes,21,3,52,40.38,aria-hidden-focus; button-name; color-contrast
852,focus.de,Yes,51,3,87,58.62,button-name; color-contrast; landmark-complementary-is-top-level; landmark-unique; link-name
853,goskope.com,No,,,,,
854,webmd.com,Yes,131,6,175,74.86,listitem; image-alt; list; aria-allowed-attr; link-name
855,cloudinary.com,Yes,27,5,68,39.71,image-alt; color-contrast; link-name; heading-order; aria-allowed-attr
856,princeton.edu,Yes,0,0,42,0.0,
857,herokuapp.com,No,,,,,
858,kontur.ru,Yes,2,2,34,5.88,color-contrast; link-in-text-block
859,miwifi.com,Yes,5,1,15,33.33,region; html-has-lang; landmark-one-main
860,agoda.com,Yes,0,0,33,0.0,
861,zenecn.net,No,,,,,
862,chess.com,Yes,2,0,38,5.26,landmark-unique; tabindex
863,change.org,Yes,0,0,38,0.0,
864,biblegateway.com,Yes,2,1,45,4.44,nested-interactive; page-has-heading-one
865,synology.com,Yes,6,3,56,10.71,region; button-name; label; role-img-alt
866,ndtv.com,Yes,5,1,11,45.45,region; html-has-lang; landmark-one-main
867,merriam-webster.com,Yes,42,2,82,51.22,region; image-redundant-alt; landmark-unique; color-contrast; landmark-no-duplicate-banner
868,life360.com,Yes,13,1,54,24.07,heading-order; color-contrast; landmark-banner-is-top-level; landmark-main-is-top-level; landmark-no-duplicate-banner
869,qualtrics.com,Yes,8,2,57,14.04,aria-allowed-attr; aria-required-children; heading-order; landmark-unique; page-has-heading-one
870,themeforest.net,Yes,1,1,25,4.0,meta-refresh
872,wbbasket.ru,No,,,,,
873,smartthings.com,Yes,32,3,75,42.67,aria-required-parent; listitem; aria-required-children
874,eu-1-id5-sync.com,Yes,11,3,29,37.93,color-contrast; region; link-in-text-block; heading-order; landmark-one-main
875,ebay.de,Yes,16,3,66,24.24,tabindex; link-name; role-img-alt; aria-allowed-role; aria-required-attr
876,tplinknbu.com,No,,,,,
877,usda.gov,No,,,,,
878,admanmedia.com,Yes,31,2,59,52.54,color-contrast; region; link-name; aria-allowed-role; landmark-banner-is-top-level
879,healthline.com,Yes,68,1,108,62.96,region; image-redundant-alt; color-contrast; landmark-one-main
880,flashtalking.com,Yes,18,2,61,29.51,link-name; color-contrast; heading-order; landmark-banner-is-top-level; landmark-no-duplicate-banner
881,usercontent.goog,Yes,5,0,18,27.78,region; landmark-one-main; page-has-heading-one
882,kunluncan.com,No,,,,,
883,amazon.com.br,Yes,3,1,9,33.33,document-title; landmark-one-main; page-has-heading-one
884,arcgis.com,Yes,3,1,27,11.11,landmark-one-main; meta-viewport; region
885,starlink.com,Yes,2,0,8,25.0,landmark-one-main; page-has-heading-one
886,worldbank.org,Yes,0,0,28,0.0,
887,deloitte.com,Yes,17,1,61,27.87,aria-allowed-role; list; heading-order
888,irs.gov,Yes,9,1,58,15.52,aria-allowed-role; aria-allowed-attr; landmark-unique; region
889,akahost.net,No,,,,,
890,bankofamerica.com,Yes,57,2,88,64.77,aria-allowed-role; image-alt; region; link-name; empty-heading
891,richaudience.com,Yes,65,3,89,73.03,color-contrast; region; link-name; heading-order; image-alt
892,nic.io,Yes,3,2,32,9.38,heading-order; link-name; meta-viewport
893,fidelity.com,No,,,,,
894,otto.de,Yes,27,1,73,36.99,region; aria-prohibited-attr; label-title-only; landmark-one-main
895,www.gov.br,Yes,11,1,58,18.97,image-redundant-alt; button-name; landmark-banner-is-top-level; landmark-no-duplicate-banner; landmark-unique
896,aiv-delivery.net,No,,,,,
897,ioref.io,No,,,,,
898,bytefcdn.com,No,,,,,
899,frontiersin.org,Yes,0,0,41,0.0,
900,tiktokw.us,No,,,,,
901,eu.com,Yes,5,3,42,11.9,image-alt; label; landmark-unique; link-name; page-has-heading-one
902,clever.com,Yes,0,0,41,0.0,
903,genius.com,Yes,5,1,31,16.13,empty-heading; landmark-main-is-top-level; landmark-no-duplicate-main; landmark-unique; meta-refresh
904,seedtag.com,Yes,47,3,86,54.65,color-contrast; link-name; aria-prohibited-attr; heading-order; region
905,go-mpulse.net,No,,,,,
906,daum.net,Yes,62,6,112,55.36,color-contrast; tabindex; empty-heading; aria-allowed-attr; aria-required-children
907,fbsbx.com,Yes,3,1,6,50.0,html-has-lang; landmark-one-main; page-has-heading-one
908,azure-devices.net,No,,,,,
909,pixiv.net,Yes,18,3,32,56.25,region; color-contrast; link-in-text-block; link-name
910,playrix.com,Yes,11,3,38,28.95,region; listitem; color-contrast; landmark-one-main; meta-viewport
911,hm.com,Yes,5,1,11,45.45,region; html-has-lang; landmark-one-main
912,samsungosp.com,No,,,,,
913,rutube.ru,Yes,100,3,143,69.93,link-name; landmark-unique; aria-valid-attr-value; meta-viewport; page-has-heading-one
914,blackberry.net,No,,,,,
915,classlink.com,Yes,55,3,96,57.29,region; color-contrast; aria-required-attr; aria-allowed-role; label-title-only
